rel_id,song_id,author_id,合作类型,备注,最新更新时间
110118_A104,110118,A104,,,2026-03-24 01:48:46
110119_A105,110119,A105,,,2026-03-24 01:48:46
110120_A106,110120,A106,,,2026-03-24 01:48:46
110121_A079,110121,A079,,,2026-03-24 01:48:46
110122_A107,110122,A107,,,2026-03-24 01:48:46
110123_A040,110123,A040,,,2026-03-24 01:48:46
110124_A108,110124,A108,,,2026-03-24 01:48:46
110125_A109,110125,A109,,,2026-03-24 01:48:46
110126_A110,110126,A110,,,2026-03-24 01:48:46
110127_A111,110127,A111,,,2026-03-24 01:48:46
110128_A112,110128,A112,,,2026-03-24 01:48:46
110129_A113,110129,A113,,,2026-03-24 01:48:46
110130_A114,110130,A114,,,2026-03-24 01:48:46
110131_A115,110131,A115,,,2026-03-24 01:48:46
110132_A116,110132,A116,,,2026-03-24 01:48:46
110133_A022,110133,A022,,,2026-03-24 01:48:46
110134_A054,110134,A054,,,2026-03-24 01:48:46
110135_A117,110135,A117,,,2026-03-24 01:48:46
110136_A118,110136,A118,,,2026-03-24 01:48:46
110137_A119,110137,A119,,,2026-03-24 01:48:46
110138_A120,110138,A120,,,2026-03-24 01:48:46
110139_A043,110139,A043,,,2026-03-24 01:48:46
110140_A111,110140,A111,,,2026-03-24 01:48:46
110141_A121,110141,A121,,,2026-03-24 01:48:46
110142_A122,110142,A122,,,2026-03-24 01:48:46
110143_A123,110143,A123,,,2026-03-24 01:48:46
110144_A124,110144,A124,,,2026-03-24 01:48:46
110145_A125,110145,A125,,,2026-03-24 01:48:46
110146_A126,110146,A126,,,2026-03-24 01:48:46
110147_A094,110147,A094,,,2026-03-24 01:48:46
110148_A127,110148,A127,,,2026-03-24 01:48:46
110149_A128,110149,A128,,,2026-03-24 01:48:46
110150_A129,110150,A129,,,2026-03-24 01:48:46
110151_A130,110151,A130,,,2026-03-24 01:48:46
110152_A043,110152,A043,,,2026-03-24 01:48:46
110153_A052,110153,A052,,,2026-03-24 01:48:46
110154_A094,110154,A094,,,2026-03-24 01:48:46
110155_A023,110155,A023,,,2026-03-24 01:48:46
110156_A131,110156,A131,,,2026-03-24 01:48:46
110157_A034,110157,A034,,,2026-03-24 01:48:46
110158_A096,110158,A096,,,2026-03-24 01:48:46
110159_A132,110159,A132,,,2026-03-24 01:48:46
110160_A016,110160,A016,,,2026-03-24 01:48:46
110161_A133,110161,A133,,,2026-03-24 01:48:46
110162_A134,110162,A134,,,2026-03-24 01:48:46
110163_A012,110163,A012,,,2026-03-24 01:48:46
110164_A135,110164,A135,,,2026-03-24 01:48:46
110165_A056,110165,A056,,,2026-03-24 01:48:46
110166_A043,110166,A043,,,2026-03-24 01:48:46
110167_A136,110167,A136,,,2026-03-24 01:48:46
110168_A130,110168,A130,,,2026-03-24 01:48:46
110169_A137,110169,A137,,,2026-03-24 01:48:46
110170_A043,110170,A043,,,2026-03-24 01:48:46
110171_A138,110171,A138,,,2026-03-24 01:48:46
110172_A139,110172,A139,,,2026-03-24 01:48:46
110173_A140,110173,A140,,,2026-03-24 01:48:46
110174_A141,110174,A141,,,2026-03-24 01:48:46
110175_A142,110175,A142,,,2026-03-24 01:48:46
110176_A143,110176,A143,,,2026-03-24 01:48:46
110177_A144,110177,A144,,,2026-03-24 01:48:46
110178_A145,110178,A145,,,2026-03-24 01:48:46
110179_A089,110179,A089,,,2026-03-24 01:48:46
110180_A146,110180,A146,,,2026-03-24 01:48:46
110181_A147,110181,A147,,,2026-03-24 01:48:46
110182_A148,110182,A148,,,2026-03-24 01:48:46
110183_A149,110183,A149,,,2026-03-24 01:48:46
110184_A150,110184,A150,,,2026-03-24 01:48:46
110185_A043,110185,A043,,,2026-03-24 01:48:46
110186_A151,110186,A151,,,2026-03-24 01:48:46
110187_A152,110187,A152,,,2026-03-24 01:48:46
110188_A153,110188,A153,,,2026-03-24 01:48:46
110189_A154,110189,A154,,,2026-03-24 01:48:46
110190_A155,110190,A155,,,2026-03-24 01:48:46
110191_A043,110191,A043,,,2026-03-24 01:48:46
110192_A126,110192,A126,,,2026-03-24 01:48:46
110193_A156,110193,A156,,,2026-03-24 01:48:46
110194_A157,110194,A157,,,2026-03-24 01:48:46
110195_A106,110195,A106,,,2026-03-24 01:48:46
110196_A158,110196,A158,,,2026-03-24 01:48:46
110197_A159,110197,A159,,,2026-03-24 01:48:46
110198_A160,110198,A160,,,2026-03-24 01:48:46
110199_A091,110199,A091,,,2026-03-24 01:48:46
110200_A161,110200,A161,,,2026-03-24 01:48:46
110201_A162,110201,A162,,,2026-03-24 01:48:46
110202_A163,110202,A163,,,2026-03-24 01:48:46
110203_A164,110203,A164,,,2026-03-24 01:48:46
110204_A165,110204,A165,,,2026-03-24 01:48:46
110205_A166,110205,A166,,,2026-03-24 01:48:46
110206_A011,110206,A011,,,2026-03-24 01:48:46
110207_A167,110207,A167,,,2026-03-24 01:48:46
110208_A168,110208,A168,,,2026-03-24 01:48:46
110209_A169,110209,A169,,,2026-03-24 01:48:46
110210_A170,110210,A170,,,2026-03-24 01:48:46
110211_A171,110211,A171,,,2026-03-24 01:48:46
110212_A172,110212,A172,,,2026-03-24 01:48:46
110213_A173,110213,A173,,,2026-03-24 01:48:46
110214_A174,110214,A174,,,2026-03-24 01:48:46
110215_A164,110215,A164,,,2026-03-24 01:48:46
110216_A175,110216,A175,,,2026-03-24 01:48:46
110217_A176,110217,A176,,,2026-03-24 01:48:46
110218_A177,110218,A177,,,2026-03-24 01:48:46
110219_A072,110219,A072,,,2026-03-24 01:48:46
110220_A178,110220,A178,,,2026-03-24 01:48:46
110221_A012,110221,A012,,,2026-03-24 01:48:46
110222_A179,110222,A179,,,2026-03-24 01:48:46
110223_A068,110223,A068,,,2026-03-24 01:48:46
110224_A081,110224,A081,,,2026-03-24 01:48:46
110225_A004,110225,A004,,,2026-03-24 01:48:46
110226_A180,110226,A180,,,2026-03-24 01:48:46
110227_A181,110227,A181,,,2026-03-24 01:48:46
110228_A182,110228,A182,,,2026-03-24 01:48:46
110229_A179,110229,A179,,,2026-03-24 01:48:46
110230_A183,110230,A183,,,2026-03-24 01:48:46
110231_A182,110231,A182,,,2026-03-24 01:48:46
110232_A168,110232,A168,,,2026-03-24 01:48:46
110233_A184,110233,A184,,,2026-03-24 01:48:46
110234_A185,110234,A185,,,2026-03-24 01:48:46
110235_A186,110235,A186,,,2026-03-24 01:48:46
110236_A187,110236,A187,,,2026-03-24 01:48:46
110237_A174,110237,A174,,,2026-03-24 01:48:46
110238_A188,110238,A188,,,2026-03-24 01:48:46
110239_A043,110239,A043,,,2026-03-24 01:48:46
110240_A189,110240,A189,,,2026-03-24 01:48:46
110241_A190,110241,A190,,,2026-03-24 01:48:46
110242_A043,110242,A043,,,2026-03-24 01:48:46
110243_A191,110243,A191,,,2026-03-24 01:48:46
110244_A171,110244,A171,,,2026-03-24 01:48:46
110245_A192,110245,A192,,,2026-03-24 01:48:46
110246_A193,110246,A193,,,2026-03-24 01:48:46
110247_A191,110247,A191,,,2026-03-24 01:48:46
110248_A194,110248,A194,,,2026-03-24 01:48:46
110249_A186,110249,A186,,,2026-03-24 01:48:46
110250_A043,110250,A043,,,2026-03-24 01:48:46
110251_A043,110251,A043,,,2026-03-24 01:48:46
110252_A195,110252,A195,,,2026-03-24 01:48:46
120001_A016,120001,A016,,,2026-03-24 01:48:46
120002_A196,120002,A196,,,2026-03-24 01:48:46
120003_A188,120003,A188,,,2026-03-24 01:48:46
