rel_id,song_id,author_id,曲名,作者名,最新更新时间
1000001,1,999999,Sayonara Hatsukoi,REDSHiFT,2026-03-27 00:54:50
1000002,2,999998,Lost Civilization,Laur vs CK,2026-03-27 00:54:50
1000003,3,999997,GOODTEK (Arcaea Edit),EBIMAYO,2026-03-27 00:54:50
1000004,4,999996,Cry of viyella,Laur,2026-03-27 00:54:50
1000005,5,999995,Rise,Combatplayer,2026-03-27 00:54:50
1000006,6,999994,Lucifer,chitose,2026-03-27 00:54:50
1000007,7,999994,Fairytale,chitose,2026-03-27 00:54:50
1000008,8,999995,I've heard it said,Combatplayer,2026-03-27 00:54:50
1000009,9,999993,Babaroque,cYsmix,2026-03-27 00:54:50
1000010,10,999992,Memoryfactory.lzh,Frums,2026-03-27 00:54:50
1000011,11,999991,Snow White,Puru,2026-03-27 00:54:50
1000012,12,999990,Relentless,Akira Complex,2026-03-27 00:54:50
1000013,13,999989,Shades of Light in a Transcendent Realm,ak+q,2026-03-27 00:54:50
1000014,14,999989,Vexaria,ak+q,2026-03-27 00:54:50
1000015,15,999989,Essence of Twilight,ak+q,2026-03-27 00:54:50
1000016,16,999988,Qualia -ideaesthesia-,nitro,2026-03-27 00:54:50
1000017,17,999996,PRAGMATISM,Laur,2026-03-27 00:54:50
1000018,18,999987,Sheriruth,Team Grimoire,2026-03-27 00:54:50
1000019,19,999986,Lumia,sky_delta,2026-03-27 00:54:50
1000020,20,999985,Dement ~after legend~,Cosmograph,2026-03-27 00:54:50
1000021,21,999984,Dandelion,Farhan,2026-03-27 00:54:50
1000022,22,999983,Anökumene,Jun Kuroda,2026-03-27 00:54:50
1000023,23,999982,Infinity Heaven,HyuN,2026-03-27 00:54:50
1000024,24,999981,Party Vinyl,モリモリあつし,2026-03-27 00:54:50
1000025,25,999980,Flashback,ARForest,2026-03-27 00:54:50
1000026,26,999979,Flyburg and Endroll,アリスシャッハと魔法の楽団,2026-03-27 00:54:50
1000027,27,999978,Nirv lucE,しーけー,2026-03-27 00:54:50
1000028,28,999977,Paradise,Sound Souler,2026-03-27 00:54:50
1000029,29,999976,Brand new world,U-ske,2026-03-27 00:54:50
1000030,30,999985,DataErr0r,Cosmograph,2026-03-27 00:54:50
1000031,31,999975,CROSS†SOUL,HyuN feat. Syepias,2026-03-27 00:54:50
1000032,32,999974,Your voice so... feat. Such,PSYQUI,2026-03-27 00:54:50
1000033,33,999973,Chronostasis,黒皇帝,2026-03-27 00:54:50
1000034,34,999972,Kanagawa Cyber Culvert,南ゆに,2026-03-27 00:54:50
1000035,35,999971,Moonlight of Sand Castle,旅人E,2026-03-27 00:54:50
