rel_id,song_id,author_id,合作类型,备注,最新更新时间
110001_A001,110001,A001,,,2026-03-23 23:01:15
110002_A002,110002,A002,,,2026-03-23 23:01:15
110003_A003,110003,A003,,,2026-03-23 23:01:15
110004_A004,110004,A004,,,2026-03-23 23:01:15
110005_A005,110005,A005,,,2026-03-23 23:01:15
110006_A006,110006,A006,,,2026-03-23 23:01:15
110007_A007,110007,A007,,,2026-03-23 23:01:15
110008_A008,110008,A008,,,2026-03-23 23:01:15
110009_A009,110009,A009,,,2026-03-23 23:01:15
110010_A010,110010,A010,,,2026-03-23 23:01:15
110011_A011,110011,A011,,,2026-03-23 23:01:15
110012_A012,110012,A012,,,2026-03-23 23:01:15
110013_A013,110013,A013,,,2026-03-23 23:01:15
110014_A014,110014,A014,,,2026-03-23 23:01:15
110015_A015,110015,A015,,,2026-03-23 23:01:15
110016_A016,110016,A016,,,2026-03-23 23:01:15
110017_A017,110017,A017,,,2026-03-23 23:01:15
110018_A018,110018,A018,,,2026-03-23 23:01:15
110019_A019,110019,A019,,,2026-03-23 23:01:15
110020_A020,110020,A020,,,2026-03-23 23:01:15
110021_A021,110021,A021,,,2026-03-23 23:01:15
110022_A022,110022,A022,,,2026-03-23 23:01:15
110023_A023,110023,A023,,,2026-03-23 23:01:15
110024_A024,110024,A024,,,2026-03-23 23:01:15
110025_A024,110025,A024,,,2026-03-23 23:01:15
110026_A005,110026,A005,,,2026-03-23 23:01:15
110027_A025,110027,A025,,,2026-03-23 23:01:15
110028_A026,110028,A026,,,2026-03-23 23:01:15
110029_A027,110029,A027,,,2026-03-23 23:01:15
110030_A028,110030,A028,,,2026-03-23 23:01:15
110031_A029,110031,A029,,,2026-03-23 23:01:15
110032_A030,110032,A030,,,2026-03-23 23:01:15
110033_A031,110033,A031,,,2026-03-23 23:01:15
110034_A032,110034,A032,,,2026-03-23 23:01:15
110035_A033,110035,A033,,,2026-03-23 23:01:15
110036_A034,110036,A034,,,2026-03-23 23:01:15
110037_A035,110037,A035,,,2026-03-23 23:01:15
110038_A036,110038,A036,,,2026-03-23 23:01:15
110039_A037,110039,A037,,,2026-03-23 23:01:15
110040_A038,110040,A038,,,2026-03-23 23:01:15
110041_A039,110041,A039,,,2026-03-23 23:01:15
110042_A040,110042,A040,,,2026-03-23 23:01:15
110043_A041,110043,A041,,,2026-03-23 23:01:15
110044_A042,110044,A042,,,2026-03-23 23:01:15
110045_A043,110045,A043,,,2026-03-23 23:01:15
110046_A044,110046,A044,,,2026-03-23 23:01:15
110047_A045,110047,A045,,,2026-03-23 23:01:15
110048_A046,110048,A046,,,2026-03-23 23:01:15
110049_A047,110049,A047,,,2026-03-23 23:01:15
110050_A048,110050,A048,,,2026-03-23 23:01:15
110051_A049,110051,A049,,,2026-03-23 23:01:15
110052_A041,110052,A041,,,2026-03-23 23:01:15
